,instrument_token,tradingsymbol,name,instrument_type,segment,exchange
94962,5746433,655AS30A-SG,,EQ,NSE,NSE
94963,274945,655GA30-SG,,EQ,NSE,NSE
94964,372225,655GA30A-SG,,EQ,NSE,NSE
94965,5606657,655KL30-SG,,EQ,NSE,NSE
94966,154881,655MH28-SG,,EQ,NSE,NSE
94967,5652225,655RJ30-SG,,EQ,NSE,NSE
94968,5637889,655RJ50-SG,,EQ,NSE,NSE
94969,5640449,655RJ55-SG,,EQ,NSE,NSE
94970,5661185,655TN30-SG,,EQ,NSE,NSE
94971,219649,655TR30-SG,,EQ,NSE,NSE
94972,5677569,655WB30-SG,,EQ,NSE,NSE
94973,5290497,656AP31-SG,,EQ,NSE,NSE
94974,193025,656AS30-SG,,EQ,NSE,NSE
94975,3585,656KA30-SG,,EQ,NSE,NSE
94976,198657,656MH30-SG,,EQ,NSE,NSE
94977,256001,656MH32-SG,,EQ,NSE,NSE
94978,5611777,656MN30-SG,,EQ,NSE,NSE
94979,390401,656UP30-SG,,EQ,NSE,NSE
94980,5436161,657AP30-SG,,EQ,NSE,NSE
